rest_name,sqrt_fcnt1,sqrt_rcnt1,tdidf1,sqrt_fcnt2,sqrt_rcnt2,tdidf2,sqrt_fcnt3,sqrt_rcnt3,tdidf3,sqrt_fcnt4,sqrt_rcnt4,tdidf4,sqrt_fcnt5,sqrt_rcnt5,tdidf5,sqrt_fcnt6,sqrt_rcnt6,tdidf6
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.600429575941096,20.80693529180755,1.4
chaat-bhavan-sunnyvale-2,7.483314773547883,4.47213595499958,0.6,7.416198487095663,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63014581273465,18.34529853340503,1.0,1.4142135623730951,2.449489742783178,0.0
india-chaat-cuisine-sunnyvale,0.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.782329983125268,4.242640687119285,0.0
bombay-to-goa-sunnyvale,0.0,0.0,0.0,8.071067811865476,8.849266422272258,0.0,0.0,0.0,0.0,2.414213562373095,5.656854249492381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curry-up-now-san-jose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,4.123105625617661,4.898979485566356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.306623862918075,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,21.863211109075447,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,4.358898943540674,6.6332495807108,0.8,4.69041575982343,6.708203932499369,1.0,12.529964086141668,19.554261480085472,1.6392304845413261,7.483314773547883,4.47213595499958,0.6,7.416198487095663,1.7320508075688772,1.0,0.0,0.0,0.0
india-chaat-cuisine-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-to-goa-sunnyvale,4.898979485566356,4.58257569495584,1.0392304845413263,0.0,0.0,0.0,3.968118785068667,11.254465938124849,0.0,0.0,0.0,0.0,8.071067811865476,8.849266422272258,0.0,0.0,0.0,0.0
curry-up-now-san-jose,1.0,2.8284271247461903,1.0,0.0,0.0,0.0,1.4142135623730951,9.9498743710662,0.848528137423857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,12.767145334803704,10.954451150103322,1.6,0.0,0.0,0.0,0.0,0.0,0.0,4.123105625617661,4.898979485566356,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.863211109075447,2.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,21.29866966293533,19.200662401338644,1.8,0.0,0.0,0.0,0.0,0.0,0.0,4.358898943540674,6.6332495807108,0.8,4.69041575982343,6.708203932499369,1.0,12.529964086141668,19.554261480085472,1.6392304845413261
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.767145334803704,10.954451150103322,1.6
india-chaat-cuisine-sunnyvale,4.358898943540674,7.004650254605265,2.732050807568877,0.0,0.0,0.0,10.392304845413264,7.744562646538029,1.648528137423857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-to-goa-sunnyvale,0.0,0.0,0.0,5.744562646538029,4.47213595499958,0.8,1.0,3.7416573867739413,0.8,4.898979485566356,4.58257569495584,1.0392304845413263,0.0,0.0,0.0,3.968118785068667,11.254465938124849,0.0
curry-up-now-san-jose,3.6457513110645907,11.710312866373076,0.0,3.1622776601683795,3.7416573867739413,0.8,1.0,5.0990195135927845,0.0,1.0,2.8284271247461903,1.0,0.0,0.0,0.0,1.4142135623730951,9.9498743710662,0.848528137423857
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.40175425099138,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,4.47213595499958,6.6332495807108,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
india-chaat-cuisine-sunnyvale,6.244997998398398,11.357816691600547,1.0392304845413263,0.0,0.0,0.0,0.0,0.0,0.0,4.358898943540674,7.004650254605265,2.732050807568877,0.0,0.0,0.0,10.392304845413264,7.744562646538029,1.648528137423857
bombay-to-goa-sunnyvale,2.6457513110645907,8.18535277187245,1.1313708498984762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.744562646538029,4.47213595499958,0.8,1.0,3.7416573867739413,0.8
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.40175425099138,1.6
chaat-bhavan-sunnyvale-2,0.0,5.744562646538029,0.6,0.0,0.0,0.0,6.928203230275509,2.449489742783178,0.6,21.29866966293533,19.200662401338644,1.8,0.0,0.0,0.0,0.0,0.0,0.0
curry-up-now-san-jose,2.6457513110645907,18.16372753272386,1.0,9.22446323827975,3.6457513110645907,1.0,0.0,0.0,0.0,3.6457513110645907,11.710312866373076,0.0,3.1622776601683795,3.7416573867739413,0.8,1.0,5.0990195135927845,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47213595499958,6.6332495807108,0.8
bhavikas-indian-vegetarian-food-sunnyvale-2,5.477225575051661,2.0,0.848528137423857,4.358898943540674,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,5.744562646538029,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,2.23606797749979,3.0,0.848528137423857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
india-chaat-cuisine-sunnyvale,12.84523257866513,5.06449510224598,1.0,2.23606797749979,5.196152422706632,0.0,0.0,0.0,0.0,6.244997998398398,11.357816691600547,1.0392304845413263,0.0,0.0,0.0,0.0,0.0,0.0
bombay-to-goa-sunnyvale,0.0,0.0,0.0,0.0,7.615773105863909,0.6,18.11865437232401,29.102212072595353,1.648528137423857,2.6457513110645907,8.18535277187245,1.1313708498984762,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,5.5677643628300215,0.8,0.0,5.744562646538029,0.6,0.0,0.0,0.0,6.928203230275509,2.449489742783178,0.6
curry-up-now-san-jose,0.0,0.0,0.0,0.0,0.0,0.0,45.7216093088237,42.154930880880414,1.8,2.6457513110645907,18.16372753272386,1.0,9.22446323827975,3.6457513110645907,1.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.477225575051661,2.0,0.848528137423857,4.358898943540674,3.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,3.0,0.848528137423857,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.744562646538029,0.8,0.0,0.0,0.0,0.0,0.0,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,7.483314773547883,10.63014581273465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-to-goa-sunnyvale,4.0,19.026297590440446,0.6,1.0,3.4641016151377544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.615773105863909,0.6,18.11865437232401,29.102212072595353,1.648528137423857
india-chaat-cuisine-sunnyvale,8.306623862918075,5.385164807134504,0.8,5.196152422706632,3.7416573867739413,0.0,26.04278699176362,26.89531016698126,3.4000000000000004,12.84523257866513,5.06449510224598,1.0,2.23606797749979,5.196152422706632,0.0,0.0,0.0,0.0
curry-up-now-san-jose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7216093088237,42.154930880880414,1.8
chaat-bhavan-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,5.744562646538029,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,5.5677643628300215,0.8
bhavikas-indian-vegetarian-food-sunnyvale-2,12.767145334803704,10.954451150103322,1.1313708498984762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,6.782329983125268,0.848528137423857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.483314773547883,10.63014581273465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,12.767145334803704,10.954451150103322,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
